Source,Target,Type,Weight
사업,웰컴키트,directed,1
미디어,VR,directed,1
미디어,AR,directed,1
미디어,MR,directed,1
미디어,모바일,directed,1
미디어,노트북,directed,1
미디어,태블릿,directed,1
시각,포스터,directed,1
시각,사진,directed,1
시각,책,directed,1
시각,거미줄,directed,1
주거,반지하,directed,1
음료,커피,directed,1
공간,카페,directed,1
공간,도서관,directed,1
공간,미술관,directed,1
공간,학교,directed,1
공간,복지시설,directed,1
행위,공부,directed,1
행위,독서,directed,1
행위,과제,directed,1
행위,분석,directed,1
행위,정리,directed,1
행위,청소,directed,1
행위,걷기,directed,1
행위,뛰기,directed,1
행위,인사,directed,1
행위,소통,directed,1
행위,운전,directed,1
행위,게임,directed,1
행위,화장,directed,1
음식,비타민,directed,1
미디어,책,directed,1
미디어,영화,directed,1
물건,거울,directed,1
물건,펜,directed,1
시각,슬로건,directed,1
시각,현수막,directed,1
물건,연필,directed,1
시각,스토리보드,directed,1
표현,스토리보드,directed,1
물건,포스트잇,directed,1
사무,포스트잇,directed,1
물건,풍선,directed,1
공간,카트,directed,1
물건,액자,directed,1
사물,농구골대,directed,1
운동,농구골대,directed,1
운동,축구,directed,1
운동,테니스,directed,1
기타,프레임,directed,1
기타,목차,directed,1
행위,조립,directed,1
행위,먹기,directed,1
행위,말하기,directed,1
기타,거리,directed,1
시각,글꼴,directed,1
행위,손잡기,directed,1
사물,큐브,directed,1
사물,명찰,directed,1
시각,3D,directed,1
시각,입체조형,directed,1
동작,부풀린,directed,1
사물,의자,directed,1
사물,멀티탭,directed,1
동작,떠오른,directed,1
동작,마구 돌아가는,directed,1
동작,뭉개진,directed,1
동작,뒤집어진,directed,1
동작,깨지는,directed,1
동작,비틀어진,directed,1
동작,터지는,directed,1
동작,퍼지는,directed,1
동작,커지는,directed,1
동작,꼬불거리는,directed,1
동작,피어나는,directed,1
동작,구불거리는,directed,1
동작,사라지는,directed,1
동작,얼어붙는,directed,1
동작,복제되는,directed,1
동작,잡히는,directed,1
동작,쏟아내는,directed,1
동작,그려내는,directed,1
동작,깎는,directed,1
상태,두동강난,directed,1
동작,빛나는,directed,1
동작,웃고있는,directed,1
동작,누르는,directed,1
동작,꺼내는,directed,1
사물,스위치,directed,1
동작,구겨지는,directed,1
동작,날아가는,directed,1
동작,쌓이는,directed,1
동작,덮혀지는,directed,1
동작,펼치는,directed,1
동작,나아가는,directed,1
동작,짚어가는,directed,1
동작,분리되는,directed,1
상태,정렬된,directed,1
상태,분리된,directed,1
상태,깨끗한,directed,1
동작,타고있는,directed,1
동작,감싸는,directed,1
동작,안고있는,directed,1
동작,인사하는,directed,1
동작,접혀지는,directed,1
사물,스포이드,directed,1
공간,벽,directed,1
기타,크레딧,directed,1
공간,놀이동산,directed,1
사물,병,directed,1
사물,빨대,directed,1
사물,필통,directed,1
기타,표시,directed,1
사물,표지판,directed,1
사물,간판,directed,1
사물,메뉴판,directed,1
사물,히터,directed,1
사물,에어컨,directed,1
상태,뜨거운,directed,1
상태,차가운,directed,1
상태,끓고있는,directed,1
의류,가방,directed,1
의류,신발,directed,1
의류,옷,directed,1
의류,모자,directed,1
악세서리,목걸이,directed,1
악세서리,귀걸이,directed,1
악세서리,발찌,directed,1
기타,마약,directed,1
사물,자가용,directed,1
사물,우산,directed,1
사물,고리,directed,1
뷰티,속눈썹,directed,1
뷰티,립,directed,1
뷰티,피부,directed,1
옷,넥타이,directed,1
옷,양복,directed,1
옷,치마,directed,1
옷,바지,directed,1
옷,자켓,directed,1
옷,원피스,directed,1
악세서리,안경,directed,1
악세서리,선글라스,directed,1
날씨,비,directed,1
날씨,맑은,directed,1
날씨,눈,directed,1
날씨,돌풍,directed,1
날씨,우박,directed,1
날씨,태풍,directed,1
날씨,소나기,directed,1
날씨,진눈깨비,directed,1
날씨,흐린,directed,1
상태,우울한,directed,1
상태,화려한,directed,1
상태,적막의,directed,1
분위기,서먹한,directed,1
분위기,시끌벅적,directed,1
분위기,편안한,directed,1
분위기,재밌는,directed,1
분위기,고요한,directed,1
분위기,싸늘한,directed,1
분위기,다운된,directed,1
분위기,고조되는,directed,1
분위기,격양되는,directed,1
분위기,단란한,directed,1
공간,숲,directed,1
분위기,어색한,directed,1
날씨,안개,directed,1
공간,사막,directed,1
공간,바다,directed,1
공간,도로,directed,1
공간,집,directed,1
날씨,쓰나미,directed,1
사물,꽃,directed,1
동물,새,directed,1
사물,책,directed,1
사물,조각,directed,1
기타,뿌리,directed,1
이동수단,버스,directed,1
이동수단,지하철,directed,1
이동수단,배,directed,1
이동수단,비행기,directed,1
이동수단,텔레포트,directed,1
이동수단,마법,directed,1
이동수단,자전거,directed,1
판타지,텔레포트,directed,1
판타지,마법,directed,1
기타,펌프,directed,1
이동수단,제트기,directed,1
공간,공항,directed,1
사람,성별,directed,1
성별,남자,directed,1
성별,여자,directed,1
연령,10대,directed,1
연령,20대,directed,1
연령,30대,directed,1
연령,40대,directed,1
연령,50대,directed,1
연령,60대 이상,directed,1
사람,직업,directed,1
직업,학생,directed,1
직업,직장인,directed,1
직업,알바생,directed,1
학생,대학생,directed,1
학생,중학생,directed,1
학생,초등학생,directed,1
학생,고등학생,directed,1
학생,대학원생,directed,1
직업,회계사,directed,1
직업,공인중개사,directed,1
직업,디자이너,directed,1
음식,컵라면,directed,1
사물,스피커,directed,1
뷰티,수염,directed,1
기타,흔적,directed,1
공간,계단,directed,1
판타지,히어로,directed,1
표현,애니메이션,directed,1
표현,실사,directed,1
표현,추상적,directed,1
표면,거친,directed,1
표면,부드러운,directed,1
표면,연약한,directed,1
표면,오돌토돌,directed,1
표면,울퉁불퉁,directed,1
표현,레트로,directed,1
표현,사이버펑크,directed,1
상태,밀집된,directed,1
상태,포화된,directed,1
상태,느슨한,directed,1
공간,바닥,directed,1
공간,천장,directed,1
날씨,무지개,directed,1
공간,지하철역,directed,1
공간,다리,directed,1
공간,도시,directed,1
기타,돌무리,directed,1
사물,침대,directed,1
사물,책상,directed,1
사물,시계,directed,1
사물,캐리어,directed,1
사물,여권,directed,1
동작,내려가는,directed,1
동작,올라가는,directed,1
동작,자연스러운,directed,1
공간,수영장,directed,1
직업,스튜어디스,directed,1
직업,사업가,directed,1
직업,의사,directed,1
직업,변호사,directed,1
직업,선생님,directed,1
직업,운전기사,directed,1
시각,CG,directed,1
직업,조종사,directed,1
직업,예술가,directed,1
예술,예술가,directed,1
